"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
700,441.44,65.22,39.03,0.000103371,6.50084e-05,0,0,0.000103224,6.57636e-05,0.000108442,6.99386e-05,0,0,0.00094546,0.000115917,3.5759e-07
710,448.29,63.28,38.73,0.000105499,6.60702e-05,0,0,0.000106,6.70493e-05,0.000111724,7.06009e-05,0,0,0.000954322,0.000117828,3.4909e-07
720.001,456.19,62.83,38.63,0.000106181,6.76196e-05,0,0,0.000107194,7.00513e-05,0.000112095,7.2443e-05,0,0,0.000969928,0.00011876,3.4665e-07
729.999,458.52,66.84,40.53,0.000107859,6.77556e-05,0,0,0.000107489,7.01774e-05,0.00011353,7.2433e-05,0,0,0.000976486,0.000121048,3.5647e-07
740,467.18,64.68,39.23,0.000108638,6.8505e-05,0,0,0.000109499,6.98938e-05,0.000116487,7.43866e-05,0,0,0.000992515,0.000122707,3.6545e-07
750,475.41,65.96,40.77,0.000110836,6.99545e-05,0,0,0.000107431,7.25466e-05,0.000116846,7.58711e-05,0,0,0.00101093,0.00012385,3.6937e-07
760,482.31,68.25,42.04,0.000111626,7.11993e-05,0,0,0.000112442,7.16509e-05,0.000117616,7.55206e-05,0,0,0.00101973,0.000126908,3.5362e-07
770.001,486.18,67.21,40.9,0.000113539,7.12971e-05,0,0,0.000113869,7.34413e-05,0.00012052,7.67754e-05,0,0,0.00104274,0.000127718,3.5696e-07
779.999,493.31,67.79,41.82,0.00011509,7.24218e-05,0,0,0.000112951,7.48706e-05,0.00012139,7.83915e-05,0,0,0.0010464,0.000129182,3.4542e-07
790.001,497.13,70.4,42.81,0.000117319,7.35116e-05,0,0,0.000114321,7.56146e-05,0.000123804,7.93162e-05,0,0,0.00106234,0.000130476,3.5198e-07
800,503.44,70.42,42.95,0.000118583,7.36904e-05,0,0,0.000116443,7.56138e-05,0.000125477,7.94379e-05,0,0,0.00108146,0.000132031,3.6838e-07
809.999,511.45,68.13,41.48,0.000119772,7.44717e-05,0,0,0.000116272,7.68839e-05,0.000126031,8.02874e-05,0,0,0.00109511,0.000134729,3.6495e-07
820.001,519.24,67.8,41.5,0.000126743,7.95365e-05,0,0,0.000126546,8.16232e-05,0.000132631,8.42603e-05,0,0,0.00116549,0.000140319,4.0399e-07
829.999,523.51,68.98,42.46,0.000122312,7.67969e-05,0,0,0.000123335,7.97745e-05,0.000129456,8.26407e-05,0,0,0.00113717,0.000136985,3.3079e-07
840.001,533.57,67.78,41.92,0.000124222,7.92476e-05,0,0,0.000124793,7.91143e-05,0.000130067,8.34422e-05,0,0,0.00117113,0.000138969,3.4421e-07
850,537.16,70.33,43.05,0.00012554,7.81831e-05,0,0,0.000125914,8.13591e-05,0.000132199,8.44959e-05,0,0,0.00116815,0.000141195,3.3248e-07
859.999,546.54,72.9,45.46,0.000126759,7.98296e-05,0,0,0.000126718,7.93847e-05,0.000133728,8.58039e-05,0,0,0.00119722,0.000142887,3.4015e-07
870.001,548.45,68.53,41.74,0.000129284,8.01519e-05,0,0,0.000127709,8.27292e-05,0.000135723,8.60092e-05,0,0,0.00120392,0.000143551,4.2745e-07
879.999,553.88,70.4,42.97,0.000130903,8.19804e-05,0,0,0.000127049,8.46043e-05,0.000137758,8.7147e-05,0,0,0.00122297,0.000145918,4.3941e-07
890.001,561.99,70.86,43.72,0.000131836,8.25473e-05,0,0,0.000133826,8.53697e-05,0.000138541,8.82777e-05,0,0,0.00123524,0.000147828,3.6229e-07
900,569.36,72.95,44.65,0.000134515,8.34341e-05,0,0,0.000132785,8.54875e-05,0.000140559,8.90065e-05,0,0,0.00125067,0.000148019,3.4119e-07
909.999,577.78,71.99,44.5,0.000134125,8.47196e-05,0,0,0.000132289,8.57883e-05,0.000141778,9.06092e-05,0,0,0.001262,0.000150475,3.4536e-07
920.001,580.27,72.62,44.52,0.000134963,8.46507e-05,0,0,0.000136016,8.81301e-05,0.000143001,9.09609e-05,0,0,0.00126763,0.000153016,3.4356e-07
929.999,586.02,74.3,45.55,0.000138545,8.67662e-05,0,0,0.000136415,8.85115e-05,0.000145043,9.16421e-05,0,0,0.00128547,0.000152494,3.3403e-07
940.001,595.32,75.16,45.94,0.000138996,8.69622e-05,0,0,0.000138629,8.85184e-05,0.000146113,9.47898e-05,0,0,0.0012968,0.000155042,3.7315e-07
950,599.26,72.72,44.62,0.000140264,8.74679e-05,0,0,0.000140808,9.27185e-05,0.000147313,9.34174e-05,0,0,0.00129982,0.000155778,4.0361e-07
959.999,606.65,74.15,45.84,0.000142631,8.97009e-05,0,0,0.000141775,9.03968e-05,0.000149595,9.54414e-05,0,0,0.00132566,0.000156621,3.7535e-07
970.001,613.39,74.1,45.16,0.000143492,8.96118e-05,0,0,0.000142002,9.05504e-05,0.000151308,9.59746e-05,0,0,0.00133683,0.000159612,3.8694e-07
979.999,619.42,74.07,45.88,0.000144714,9.22806e-05,0,0,0.000141434,9.46024e-05,0.0001533,9.68906e-05,0,0,0.00134999,0.000162688,3.6355e-07
990.001,625.44,74.58,45.54,0.000146923,9.1584e-05,0,0,0.000146053,9.44424e-05,0.00015486,9.74721e-05,0,0,0.00135248,0.000162219,3.765e-07
1000,633.77,77.22,47.4,0.000148808,9.34023e-05,0,0,0.00014714,9.5967e-05,0.00015587,0.000100409,0,0,0.00138674,0.000163975,3.6403e-07
