"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
6600,18.32,4427.7,7.64,0.000983626,2.9791e-06,0.0012291,4.13148e-06,0.000788887,2.53228e-06,0.00100333,3.27473e-06,0.00256097,9.13366e-05
6700,17.32,4858.9,7.5,0.00100427,3.10873e-06,0.00125775,3.776e-06,0.000761672,2.50526e-06,0.00102445,3.11883e-06,0.00261756,9.46153e-05
6800,17.49,4890.46,7.57,0.00101681,2.96877e-06,0.00126,3.91607e-06,0.000739376,2.65293e-06,0.00103738,3.30112e-06,0.0026269,9.87596e-05
6900,16.97,5012.05,7.35,0.0010326,2.80379e-06,0.00128114,3.98093e-06,0.000747083,2.53094e-06,0.00104575,3.23888e-06,0.00264516,0.000100705
7000,17.52,4896.4,7.56,0.00105388,3.02483e-06,0.00129452,3.98124e-06,0.000731042,2.47256e-06,0.00106363,3.33371e-06,0.00267043,0.000101198
7100,17.25,5102.41,7.39,0.00109418,2.99862e-06,0.00133313,3.78562e-06,0.000820224,2.25039e-06,0.00107051,3.10945e-06,0.00274168,0.000106847
7200,17.89,5116.39,7.89,0.00104822,2.87652e-06,0.00132733,3.86653e-06,0.000755042,2.68451e-06,0.00112602,3.4515e-06,0.00275418,0.000102528
7300,18.1,5337.23,8.05,0.00107709,2.93338e-06,0.00135098,3.94899e-06,0.00076283,2.39153e-06,0.00111898,3.48651e-06,0.00281761,0.000104333
7400,19.1,5187.6,8.12,0.00110776,3.16072e-06,0.00136832,4.11097e-06,0.000820285,2.37966e-06,0.00111159,3.52616e-06,0.00288772,0.000106131
7500,18.92,5183.05,8,0.00112213,3.43725e-06,0.00139554,4.11197e-06,0.000916234,2.89311e-06,0.00113542,3.37392e-06,0.00286738,9.86647e-05
7600,19,5430.72,8.19,0.00113765,3.19232e-06,0.00141947,4.41516e-06,0.000857999,2.85826e-06,0.00114736,3.3742e-06,0.00291037,0.000108118
7700,17.69,5660.68,7.84,0.00117967,3.1682e-06,0.00144912,4.23361e-06,0.000836416,2.62091e-06,0.00119097,3.24821e-06,0.00298294,0.000112592
7800,17.86,5496.22,7.79,0.0011887,3.13862e-06,0.00148463,4.15883e-06,0.000894354,2.65468e-06,0.00120572,3.31441e-06,0.00304251,0.000114839
7900,18.42,5546.57,7.94,0.00118226,3.15556e-06,0.00148249,4.16679e-06,0.000906158,2.77573e-06,0.00121437,3.64467e-06,0.00310961,0.000115391
8000,18.31,5673.58,7.8,0.00119449,3.09316e-06,0.00147911,4.51222e-06,0.000917838,2.45823e-06,0.00121543,3.33163e-06,0.00307088,0.000111461
8100,19.41,5806.83,8.27,0.00120584,3.20965e-06,0.00148102,4.27401e-06,0.000918345,2.87988e-06,0.00121875,3.75381e-06,0.00309121,0.000119345
8200,19.4,5727.55,8.4,0.00123417,3.29807e-06,0.00152191,4.42647e-06,0.000884935,2.86525e-06,0.00124069,3.67648e-06,0.0031546,0.000115391
8300,17.38,6075.09,7.67,0.00123433,2.87015e-06,0.00154547,4.03912e-06,0.000933571,2.75398e-06,0.00127077,3.60764e-06,0.00322175,0.000122824
8400,18.08,6145.51,7.77,0.00125658,3.0141e-06,0.00155094,4.28771e-06,0.000940175,2.68984e-06,0.00127507,3.27492e-06,0.00324228,0.000120032
8500,18.98,6027.37,8.05,0.00127438,3.12013e-06,0.00157908,4.20252e-06,0.000937571,2.7449e-06,0.00128946,3.40626e-06,0.0032864,0.00012464
8600,17.69,6243.81,7.74,0.00128564,3.15344e-06,0.00159819,4.03325e-06,0.000971591,2.68023e-06,0.00130497,3.29704e-06,0.0033164,0.000120129
8700,19.28,6239.29,8.06,0.00130758,3.50364e-06,0.00162105,4.20417e-06,0.000984529,2.6239e-06,0.00133289,3.69701e-06,0.00336588,0.000124336
8800,18.71,6158.03,8.15,0.00132746,3.10625e-06,0.00164539,4.32787e-06,0.000993077,2.67676e-06,0.00133357,3.56858e-06,0.00339211,0.000125198
8900,17.94,6388.87,8,0.00132888,3.0042e-06,0.00165803,4.27525e-06,0.00105593,2.82847e-06,0.00137107,3.32097e-06,0.00345467,0.000123284
9000,18.66,6349.33,8.15,0.00133846,3.03002e-06,0.00168715,4.13624e-06,0.00102449,2.74756e-06,0.00137875,3.4052e-06,0.00346997,0.000125718
9100,18.08,6694.7,8.02,0.00138166,3.31381e-06,0.0016907,3.84107e-06,0.000984342,2.50955e-06,0.00139251,3.73311e-06,0.00352278,0.000133113
9200,18.47,6721.08,8.09,0.0013748,3.13175e-06,0.00172263,4.26083e-06,0.00104343,2.92859e-06,0.00140219,3.45361e-06,0.00356759,0.000134436
9300,17.2,6652.95,7.59,0.0013938,3.08716e-06,0.00172452,3.89411e-06,0.00105979,2.50737e-06,0.00142616,3.48369e-06,0.00360823,0.000131511
9400,18.26,6769.42,7.75,0.00140079,3.30402e-06,0.00174102,4.22316e-06,0.00100223,2.74601e-06,0.00142232,3.7299e-06,0.00359831,0.000133615
9500,18.68,7054.88,8.31,0.00140417,3.05779e-06,0.00175999,4.02094e-06,0.00103795,2.83053e-06,0.00144599,3.33998e-06,0.00366994,0.0001425
9600,17.66,6970.64,7.71,0.00143787,2.91526e-06,0.00178684,3.93693e-06,0.00111263,2.2888e-06,0.0014701,3.43219e-06,0.00371346,0.000136488
9700,18.64,6836.94,8.09,0.00143332,3.27121e-06,0.00178719,4.17692e-06,0.00104817,2.74445e-06,0.00146308,3.74031e-06,0.00372162,0.000135689
9800,18.48,7045.78,8.03,0.00146428,3.44671e-06,0.00183087,4.1806e-06,0.0010699,2.73051e-06,0.00148579,3.82775e-06,0.00377521,0.000134157
9900,18.34,7139.83,7.85,0.00148101,3.03366e-06,0.0018446,4.42453e-06,0.00114644,2.61685e-06,0.00150677,3.46311e-06,0.00384932,0.0001414
10000,18.92,7055.97,8.05,0.00148191,3.08218e-06,0.0018527,4.49053e-06,0.00107343,3.02763e-06,0.00153469,3.65004e-06,0.00388995,0.000137009
