"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
7000,5248.33,20.2,18.23,0.00104856,0.000748762,0,0,0.00108728,0.000783619,0.00109349,0.000805639,0,0,0.0109508,0.000968078,5.5921e-07
7100,5321.37,19.86,17.85,0.00106135,0.000758661,0,0,0.00109817,0.000803498,0.00111214,0.000818934,0,0,0.0110872,0.000970107,6.0039e-07
7200,5395.15,20.01,18.09,0.00107748,0.000767104,0,0,0.00111787,0.000819964,0.00112841,0.000832551,0,0,0.0112351,0.000979539,6.0211e-07
7300,5473.29,19.8,17.89,0.00108727,0.000773912,0,0,0.0011278,0.000827848,0.00113839,0.000835739,0,0,0.0111482,0.000984438,5.407e-07
7400,5547.82,20.12,18.1,0.00111066,0.000790018,0,0,0.00116187,0.000846253,0.00116151,0.000857445,0,0,0.0115398,0.0010162,5.9864e-07
7500,5621.46,19.59,17.67,0.00112655,0.000801942,0,0,0.00116427,0.000842768,0.00117835,0.000866416,0,0,0.0117055,0.00105538,5.9131e-07
7600,5697.31,19.81,17.87,0.00113985,0.000809107,0,0,0.00117949,0.000865279,0.00118157,0.000878685,0,0,0.0117934,0.00103888,5.7348e-07
7700,5772.98,19.75,17.82,0.00115896,0.00082322,0,0,0.00119604,0.000872966,0.00120459,0.0008917,0,0,0.0119947,0.00107449,6.0143e-07
7800,5852.94,19.91,18.04,0.00116921,0.000832929,0,0,0.00120755,0.000877438,0.00122428,0.000896968,0,0,0.0119357,0.00107391,5.9682e-07
7900,5926.93,20.16,18.16,0.0011935,0.000848685,0,0,0.00123575,0.000903967,0.0012498,0.000919879,0,0,0.0123031,0.00111398,6.0956e-07
8000,6000.22,20.19,18.26,0.00120593,0.000852243,0,0,0.00122594,0.000911629,0.00126014,0.000927413,0,0,0.0123812,0.00110178,6.0097e-07
8100,6080.39,20.27,18.19,0.00121546,0.000866238,0,0,0.00126361,0.000924556,0.00127149,0.000939247,0,0,0.0125372,0.00111571,6.147e-07
8200,6155.71,19.92,17.95,0.00123859,0.000877815,0,0,0.00128642,0.000939337,0.00129289,0.00095008,0,0,0.0126706,0.00113786,5.9879e-07
8300,6222.82,20.27,18.23,0.00125639,0.000887395,0,0,0.00130401,0.000940895,0.00131559,0.000965687,0,0,0.0129634,0.00117867,6.2602e-07
8400,6299.62,20.2,18.15,0.00126678,0.000895639,0,0,0.00130256,0.000953243,0.00131453,0.000968599,0,0,0.0129706,0.00115971,6.0602e-07
8500,6378.6,20.2,18.3,0.00130078,0.000917564,0,0,0.00133413,0.000971664,0.00134895,0.000989516,0,0,0.0132987,0.00122427,6.6073e-07
8600,6451.12,20.29,18.24,0.0013087,0.00092534,0,0,0.0013476,0.000986122,0.00136006,0.00100422,0,0,0.0133931,0.00122775,6.3475e-07
8700,6526.74,20.37,18.56,0.00130494,0.000927221,0,0,0.00135338,0.000985721,0.00136306,0.0010043,0,0,0.0134042,0.00120586,7.0691e-07
8800,6599.54,20.46,18.55,0.00132282,0.000941645,0,0,0.00136865,0.000999927,0.00138955,0.00102238,0,0,0.0136273,0.00123735,6.0388e-07
8900,6665.64,20.59,18.51,0.00133391,0.000947029,0,0,0.00137129,0.0010072,0.00139074,0.0010278,0,0,0.0136327,0.00123613,5.7061e-07
9000,6754.97,20.2,18.34,0.0013549,0.000968105,0,0,0.0014092,0.00102767,0.00143941,0.00104297,0,0,0.0139354,0.00126376,6.4437e-07
9100,6821.45,20.66,18.61,0.00136519,0.000968063,0,0,0.00141066,0.00103358,0.00142576,0.00104775,0,0,0.013967,0.00126972,6.022e-07
9200,6890.56,20.13,18.25,0.00139429,0.00098244,0,0,0.00143362,0.00104028,0.00144906,0.00105435,0,0,0.0141664,0.0013117,6.1111e-07
9300,6976.65,20.56,18.57,0.00140581,0.00099728,0,0,0.00145955,0.00107061,0.00147618,0.00108146,0,0,0.0143032,0.00130732,6.5401e-07
9400,7047.45,20.59,18.58,0.0014105,0.000999842,0,0,0.00146321,0.00106793,0.00147552,0.00108723,0,0,0.014454,0.00131428,6.3399e-07
9500,7128.34,20.72,18.86,0.00143869,0.00102228,0,0,0.00147589,0.00108746,0.00150236,0.00110066,0,0,0.0145631,0.0013327,6.4767e-07
9600,7196.86,20.27,18.46,0.00144723,0.00102573,0,0,0.00150969,0.0010926,0.00152054,0.00111812,0,0,0.0147702,0.00135498,6.585e-07
9700,7272.92,20.53,18.76,0.00146041,0.00102928,0,0,0.00150758,0.00110585,0.00152752,0.00112173,0,0,0.0148453,0.00136433,6.8596e-07
9800,7349.57,20.49,18.55,0.00148305,0.00104601,0,0,0.00153897,0.00113607,0.00156133,0.00114822,0,0,0.0150988,0.001414,6.3967e-07
9900,7426.18,20.51,18.48,0.00149281,0.00106434,0,0,0.0015631,0.00113767,0.00157318,0.0011492,0,0,0.0152935,0.00144551,7.496e-07
10000,7497.58,20.69,18.74,0.0015211,0.00107338,0,0,0.00157243,0.0011445,0.00159847,0.00115962,0,0,0.0153826,0.0014509,6.6099e-07
