"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
900,566.84,70.39,42.78,0.000142332,8.81286e-05,0.000183315,0.000114596,0.00013404,9.30262e-05,0.000144663,9.44987e-05,0.000389195,0.000237111
909.999,575.21,76.31,46.63,0.000143849,9.01175e-05,0.000184555,0.00011851,0.000142353,9.31381e-05,0.000149946,9.87075e-05,0.000406766,0.000247787
920.001,580.36,72.4,44.2,0.000141232,8.92423e-05,0.000179721,0.000113774,0.000144684,9.04136e-05,0.000145005,9.76957e-05,0.000394215,0.000236918
929.999,589.04,73.91,45.57,0.000145497,9.07109e-05,0.000190457,0.000119469,0.000146695,9.71353e-05,0.000151075,0.000102023,0.000416452,0.00025184
940.001,592.49,71.49,44.24,0.000149296,9.27051e-05,0.000195642,0.000122289,0.000148133,9.7201e-05,0.000151073,0.000104799,0.000425236,0.000250613
950,600.11,76.03,46.7,0.000149976,9.18687e-05,0.000191745,0.000122002,0.000151677,9.92028e-05,0.000149972,0.000101204,0.000414612,0.000252776
959.999,607.47,73.04,45.02,0.000144337,9.09415e-05,0.000186698,0.000118287,0.00014922,9.5873e-05,0.000150101,9.84904e-05,0.000405566,0.000244782
970.001,612.73,76.16,46.62,0.000152204,9.37453e-05,0.000194802,0.000123043,0.000147572,9.63861e-05,0.000152269,0.000102075,0.000421848,0.000255969
979.999,620.81,76.31,47.22,0.000156843,9.91168e-05,0.000208211,0.00013298,0.000157662,0.00010454,0.000166263,0.000110027,0.000434933,0.000268049
990.001,624.83,77.33,47.6,0.000151293,9.46067e-05,0.000194754,0.000123555,0.000152894,9.75709e-05,0.000162082,0.000106501,0.000427073,0.000256826
1000,630.93,76.75,47.24,0.000153813,9.39988e-05,0.000192109,0.000120566,0.000149177,9.62721e-05,0.000153483,0.000102307,0.000426827,0.000261486
